State,State_abbrev,county start ym available,county end ym available,county start year available,county end year available,state start ym available,state end ym available,state start year available,state end year available,other start ym available,other end ym available,Notes,how to clean,shorten pdf,digitize pdf,link1,link2,link3,link4,link5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,IN,,,,,2005m4,2024m6,,,,,,"tabula. Then, just change local end ym",0,0,https://www.in.gov/fssa/dfr/2688.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,IA,2002m1,2024m4,,,,,,,,,,"No need to shorten pdf. Use adobe to convert to excel. Then, just change local",0,1,https://hhs.iowa.gov/about/performance-and-reports,https://hhs.iowa.gov/snap-f-1-reports,https://dhs.iowa.gov/reports/food-assistance-reports/f-1-report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,KS,2010m7,2023m9,,,,,,,,,,"State data: shorten pdf (""CURRENT_PAR_SFYxxxx_Access.pdf""). Then use adobe to convert to excel. Then, just change local (year). //// County data: no need to shorten pdf (""SFYxxxx_CntyCaseload_Rpt.pdf""). Use adobe to convert to excel. Then just change local.",1,1,http://www.dcf.ks.gov/services/ees/Pages/EESreports.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,KY,,,,,2005m1,2020m12,,,,,,tableau files to excel. Then import excel,0,0,https://kypolicy.org/tracking-snap-in-kentucky/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,LA,2000m7,2024m5,,,1987m7,2020m12,,,,,,"for statewide data: convert a single sheet from pdf to excel, then add to local",0,1,https://www.dcfs.louisiana.gov/page/program-statistics-2023-2024,http://www.dss.state.la.us/page/program-statistics-2020-2021,http://www.dss.state.la.us/page/649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,ME,2005m1,2024m5,,,,,,,,,Data is also at the town level,"use adobe to convert to excel. Then, just change local",0,1,https://www.maine.gov/dhhs/ofi/reports/reports.html,https://www.maine.gov/dhhs/ofi/about-us/data-reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,MD,1996m1-2005m6; 2007m7,2024m5,,,,,,,,,,"link: click ""FIA"" then ""Statistical Reports""; no need to shorten pdf. Use adobe to convert to excel. Then just change local.",0,1,http://dhr.maryland.gov/business-center/documents/data-and-reports/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,MA,2017m8,2024m5,,,,,,,2017m8,2024m5,Data is also at the zipcode level,import excel and change local,0,0,https://www.mass.gov/lists/department-of-transitional-assistance-caseload-by-zip-code-reports,https://www.mass.gov/lists/dta-performance-scorecards#2022-performance-scorecards-by-month-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI,2008m10,2024m5,,,,,,,,,,"No need to shorten pdf. Convert pdf to excel, import excel (could be the same file name, but which contains new months of data), change one local and run",0,1,"https://www.michigan.gov/mdhhs/0,5885,7-339-73970_61179_10831---,00.html",older files gathered from wayback machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2014m1,2024m5,,,,,,,,,,"download most recent excel data file, might need to change filename in dofile. Clean excel data; specifics are in pdf",0,0,https://mn.gov/dhs/general-public/publications-forms-resources/reports/financial-reports-and-forecasts.jsp,https://mn.gov/dhs/partners-and-providers/news-initiatives-reports-workgroups/economic-supports-cash-food/,https://mn.gov/dhs/general-public/publications-forms-resources/reports/financial-reports-and-forecasts.jsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,MS,,,,,2014m7,2020m10,,,,,,"shorten pdf, then digitize with adobe",1,1,https://www.mdhs.ms.gov/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,2007m10,2024m5,,,,,,,,,,"shorten pdf, then digitize with adobe",1,1,https://dss.mo.gov/re/fsd_mhdmr.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,MT,2012m7,2024m6,,,,,2004FY,2011FY,,,,"Download excel data for each county individually from tableau embedded online, for both apps and recipients data: 57 counties X 2 files = 114 downloads",0,0,https://dphhs.mt.gov/InteractiveDashboards/publicassistancedashboard,wayback machine of https://dphhs.mt.gov/StatisticalInformation/DPHHSProgramStatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,NE,,,,,2015m3,2020m11,,,,,,"convert pdf to excel, import excel, change some locals",,,http://dhhs.ne.gov/Pages/ACCESSNebraska-Performance-Measures.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,NV,,,,,2018m7,2020m3,,,,,,"On online dashboard, click ""Division of Welfare and Supportive Services (DWSS)"" -> ""Supplemental Nutrition Assistance Program (SNAP)"" -> then type in data on the page into my own spreadsheet",0,0,https://app.powerbigov.us/view?r=eyJrIjoiNmI1NTdmMDktNWYyNS00NGE3LTgyY2MtMzM0MmQ5YWYzZmY4IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,NJ,2007m1,2024m5,,,,,,,,,,"shorten pdf, digitize pdf, then change local (format of doc has never changed)",1,1,https://www.nj.gov/humanservices/dfd/news/cps.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,NM,2013m1,2024m4,,,,,,,2013m1,2024m4,Original data is at the office level,"shorten pdf, digitize pdf change local",1,1,https://www.hsd.state.nm.us/public-information-and-communications/monthly-statistical-reports/,https://www.hsd.state.nm.us/monthly-statistical-reports.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,NY,2001m1,2024m4,,,,,,,2001m1,2024m4,Original data is at the district level,"shorten pdf, digitize pdf, then change local (format of doc has never changed)",1,1,https://data.ny.gov/Human-Services/Supplemental-Nutrition-Assistance-Program-SNAP-Cas/dq6j-8u8z,http://otda.ny.gov/resources/caseload/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC,2005m1-2006m6 pdfs; 2006m7,2024m5,,,,,,,,,,"timeliness data needs to be digitized. Regular data is already in excel form. change locals: file names and end months; import excel data, digitize pdfs for ABAWDs. Not all quality control data has been downloaded, there is a lot.",0,1,https://www.ncdhhs.gov/divisions/social-services/program-statistics-and-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,ND,,,2004FY,2019FY,,,,,,,,"shorten pdf, then digitize",1,1,http://www.nd.gov/dhs/info/pubs/help.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,OH,2002m6,2023m12,,,,,,,,,,"shorten pdf, then digitize",1,1,https://jfs.ohio.gov/cash-food-and-refugee-assistance/pams/pams,http://jfs.ohio.gov/PAMS/index.stm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK,,,2011,2019,,,,,,,,import excel,0,0,https://oklahoma.gov/okdhs/library/rpts/s21-dhsannualreport-tables.html,http://www.okdhs.org/aboutus/cos/Pages/AnnualReportsArchive.aspx,http://www.okdhs.org/sites/searchcenter/Pages/okdhsreportresults.aspx#Default=%7b%22k%22%3a%22%22%2c%22r%22%3a%5b%7b%22n%22%3a%22RefinableString05%22%2c%22t%22%3a%5b%22%5c%22%C7%82%C7%82416275736520616e64204e65676c656374%5c%22%22%5d%2c%22o%22%3a%22and%22%2c%22k%22%3afalse%2c%22m%22%3anull%7d%5d%7d/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,OR,2017m1 ,2020m11,,,2010m7,2017m12,,,,,,"import excel files. Flash figures pdfs have enrollment counts separated by type of office: SSP, APD, and AAA. SSP = Self-Sufficiency. APD = Aging and People with Disabilities. AAA Area Agency on Aging. ",0,1,https://www.oregon.gov/DHS/assistance/pages/data.aspx,https://digital.osl.state.or.us/islandora/object/osl:957275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,2004m1,2024m5,,,,,,,,,,"now just import excel file with all the data! Used to be: import excel, change locals",0,0,http://listserv.dpw.state.pa.us/ma-food-stamps-and-cash-stats.html,https://www.dhs.pa.gov/about/Pages/Data-Dashboards.aspx,https://data.pa.gov/Human-Services/Supplemental-Nutrition-Assistance-Program-Individu/kd9x-cq7y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,RI,,,,,,,,,,,,,,,https://dhs.ri.gov/programs-and-services/nutrition-assistance-snap/supplemental-nutrition-assistance-program-snap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC,2008m3,2024m5,,,,,,,,,,"use adobe to convert to excel. Then, just change local",0,1,https://dss.sc.gov/about/data-and-resources/family-assistance-data/supplemental-nutrition-assistance-program/,https://dss.sc.gov/about/data-and-resources/snap-households-and-benefits-dashboard/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,SD,2013m1,2024m5,,,,,,,,,,"convert pdf, change locals",0,1,https://dss.sd.gov/keyresources/statistics.aspx,https://dss.sd.gov/economicassistance/snap/data.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,TN,2011m1,2024m5,,,,,,,,,,digitize pdf tables,0,1,https://www.tn.gov/content/tn/humanservices/for-families/supplemental-nutrition-assistance-program-snap/snap-statistical-information.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,2014m1,2024m6,,,2005m9,2020m12,,,,,,import excel,0,0,https://hhs.texas.gov/about-hhs/records-statistics/data-statistics/supplemental-nutritional-assistance-program-snap-statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,UT,,,1989,2012,,,,,,,,,,,links: https://opendata.utah.gov/Social-Services/Total-SNAP-Benefits-By-State-2010-2014/nip7-g56d,https://opendata.utah.gov/Social-Services/SNAP-Benefits-Recipients-Counties-Utah-1989-2012/cqt2-6crj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,VT,,,,,2019m7,2020m3,,,,,,,,,https://dcf.vermont.gov/esd/reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,VA,2001m9,2024m5,,,,,,,,,,"import excel and csv; csv and pdf should be the same months, downloaded both files just in case",0,0,https://www.dss.virginia.gov/geninfo/reports/financial_assistance/fs.cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,WA,2021m6,2021m6,2001,2017,2004m7,2021m6,,,,,with some gaps in state ym data,download many excel files from online,,,http://clientdata.rda.dshs.wa.gov/Home/ShowReport?reportMode=0,http://clientdata.rda.dshs.wa.gov/Home/ShowReport?reportMode=1,https://www.dshs.wa.gov/esa/manuals/briefing-book#overlay-context=esa/manuals/briefing-book,https://manuals.dshs.wa.gov/sites/default/files/ESA/briefing-manual/2020Basic_Food_Assistance.pdf [change year in link if needed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,WV,,,,,2010m11,2022m4,,,,,,,,,https://dhhr.wv.gov/bcf/Reports/Pages/Bureau-for-Children-and-Families-Secretary's-Report.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,WI,2011m1,2024m4,1995,2019,,,,,,,,"import excel. For at a glance files, download pdf and enter data by hand.",0,1,https://www.dhs.wisconsin.gov/foodshare/rsdata.htm,https://www.dhs.wisconsin.gov/foodshare/fsataglance.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,DC,,,,,,,,,,,,,,,https://dhs.dc.gov/page/data-and-dashboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
